ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
1.51,X,Douglas Av bet. W 235 St and W 236 St,Spuyten Duyvil Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X171/,10463
1.922,R,"Foote Ave., Howard Ave., Martha St., Clove Rd.",Terrace Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/R069/,10301
0.056,B,Sutter Ave. between Wyona St. and Bradford St.,Ps 149 Artsy Bloom Community Garden,Garden,http://www.nycgovparks.org/parks/B442/,11207
0.05,B,Hart St. between Marcy Ave. and Tompkins Ave.,American Heart,Garden,http://www.nycgovparks.org/parks/B441/,11206
0.064,B,Tompkins Ave. and Willoughby Ave.,All People's Church of the Apostolic Faith Community Garden,Garden,http://www.nycgovparks.org/parks/B439/,11206
0.161,B,Willoughby Ave. between Lewis Ave. and Marcus Garvey Blvd.,Lewis Playground,Playground,http://www.nycgovparks.org/parks/B430/,11206
1.363,B,Knickerbocker Ave. between Grove St. and Menahan St.,Hope Ballfield,Neighborhood Park,http://www.nycgovparks.org/parks/B429/,11237
0.348,B,Goodwin Pl. and Grove St.,Goodwin Gardens,Garden,http://www.nycgovparks.org/parks/B428/,11221
0.115,B,McKibbin St. between Manhattan Ave. and Graham Ave.,Sunshine Community Garden,Garden,http://www.nycgovparks.org/parks/B427/,11206
0.23,B,S. 2 St. between Driggs Ave. and Roebling St.,Earth Spirit Garden,Garden,http://www.nycgovparks.org/parks/B424/,11211
0.172,B,Walton St. between Harrison Ave. and Throop Ave.,Project Roots,Garden,http://www.nycgovparks.org/parks/B423/,11206
0.3,B,Glenmore Ave. between Ashford St. and Cleveland St.,P.S. 4 Paradise Garden,Garden,http://www.nycgovparks.org/parks/B417/,11207
0.037,B,Georgia Ave. and New Lots Ave.,Georgia Ave Garden,Garden,http://www.nycgovparks.org/parks/B415/,11207
0.225,B,"Hamilton Ave., Van Brunt St., Summit St.",The Backyard,Garden,http://www.nycgovparks.org/parks/B410/,11231
0.103,B,Carroll St. and Columbia St.,The Amazing Garden,Garden,http://www.nycgovparks.org/parks/B409/,11231
0.591,B,Wyona St. to Vermont St. between Fulton St. and Jamaica Ave.,George Walker Jr. Park,Neighborhood Park,http://www.nycgovparks.org/parks/B402/,11207
0.203,B,Union St. between 4 Ave. and 5 Ave.,Gardens Of Union,Garden,http://www.nycgovparks.org/parks/B399/,11215
0.918,B,Christopher Ave. between Sutter Ave. and Belmont Ave.,Carter G. Woodson Children's Park,Community Park,http://www.nycgovparks.org/parks/B397/,11212
1.648,B,"Watkins St., Mother Gaston Blvd., Livonia Ave., Riverdale Ave.",Nehemiah Park,Playground,http://www.nycgovparks.org/parks/B396/,11212
0.467,B,President St. and Van Brunt St.,Mother Cabrini Park,Playground,http://www.nycgovparks.org/parks/B390/,11231
0.111,B,Woodruff Ave. and Ocean Ave.,Umma Park,Playground,http://www.nycgovparks.org/parks/B389/,11226
0.07,B,"Vanderbilt Ave., Gates Ave. and Fulton St.",Gateway Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B388/,11238
0.46,B,Ten Eyck St. to Stagg St. between Lorimer St. and Union Ave.,Ten Eyck Plaza,Playground,http://www.nycgovparks.org/parks/B386/,11206
1.82,B,Broadway between Granite St. and Aberdeen St.,Thomas Boyland Park,Neighborhood Park,http://www.nycgovparks.org/parks/B381/,11207
2.939,B,"Belmont Ave., Sutter Ave., Sheridan Ave. and Grant Ave.",Robert E. Venable Park,Neighborhood Park,http://www.nycgovparks.org/parks/B380/,11208
6.7,B,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",Friends Field,Community Park,http://www.nycgovparks.org/parks/B372/,11230
1.438,B,"Bergen St., Utica Ave., Rochester Ave., St Mark's Ave.",Woods Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B364/,11213
0.918,B,Glenmore Ave. between Powell St. and Sackman St.,Houston Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B363/,11212
1,B,Chester St. to Bristol St. between Sutter Ave. and Pitkin Ave.,Chester Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B362/,11212
1.333,B,Remsen Ave. and Glenwood Rd.,Remsen Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B360/,11236
1.211,B,Kosciuszko St. to Dekalb Ave. between Lewis Ave. and Stuyvesant Ave.,Eleanor Roosevelt Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B359/,11221
1.1,B,Harrison Ave. between Walton St. and Lorimer St.,De Hostos Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B358/,11206
0.155,B,Pacific St. between Nevins St. and 3 Ave.,North Pacific Playground,Playground,http://www.nycgovparks.org/parks/B356/,11217
0.927,B,E. 71 St. between Ave. N and Ave. T,Bergen Beach Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B353/,11234
1.003,B,Foster Ave. between E. 81 St. and E. 82 St.,Curtis Playground,Playground,http://www.nycgovparks.org/parks/B352/,11236
2.391,B,Marcy Ave. between Kosciuszko St. and Dekalb Ave.,Kosciuszko Pool,Buildings/Institutions,http://www.nycgovparks.org/parks/B351/,11216
1.194,B,Sterling Pl. to Park Pl. between Classon Ave. and Washington Ave.,Stroud Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B350/,11238
1.722,Q,"109 St., 111 St. bet. 46 Ave. and 47 Ave.",Corona Golf Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q450/,11368
0.8,B,Wortman Ave. between Vermont St. and New Jersey Ave.,Ethan Allen Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B345/,11207
1.616,B,Glenwood Rd. between E. 100 St. and E. 101 St.,100% Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B342/,11236
0.915,B,Flushing Ave. between Beaver St. and Garden St.,Garden Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B340/,11206
2.282,B,W. Brighton Ave. between W. 2 St. and W. 3 St.,Century Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B337/,11224
1.061,B,"Central Ave., Troutman St. and Starr St.",Fermi Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B334/,11221
0.87,B,Decatur St. to Schaefer St. between Bushwick Ave. and Evergreen Ave.,Evergreen Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B332/,11207
